1.FAM;2.SP;2.Especies2;3.MSUG;4.CSUG;5.NPOL;6.VPOL;7.POR;8.AN;9.SIZ;10.SIM;11.SOLD;12.HUE;13.BRI;14.CHR;15.UV;16.GC;17.DIST;18.CAT;19.COLOR;20.COROLA;Floral display;FdSize
Lamiaceae;Rosmarinus officinalis;Rosmarinus_officinalis;285;19.44;5492;0.14;2;P;10.75;Z;SI;694.8566667;302.51838;1.473526135;0.052864837;0.191977333;0.137181835;B;purple;Bilabiada;620;6665
Rosaceae;Rubus ulmifolius;Rubus_ulmifolius;173;17.68;641366;3.21;2;P;23;R;NO;695.5166667;417.81329;1.516952074;0.035241895;0.248658874;0.152144971;B;pink;Radiada;20;46
Lamiaceae;Salvia verbenaca;Salvia_verbenaca;170.05;18.9;4973;0.14;3;P;13.5;Z;SI;695.5033333;160.2569073;2.114886087;0.07409342;0.051824446;0.184007469;B;purple;Bilabiada;;
Asparagaceae;Scilla autumnalis;Scilla_autumnalis;0;;;;3;P;9;R;SI;698.6675;142.807995;1.875256353;0.037371515;0.029914912;0.217101138;B;purple;Rotacea;;
Asteraceae;Scolymus hispanicus;Scolymus_hispanicus;;;;0.6;3;P;20.5;R;SI;617.3666667;330.4043167;1.702751329;0.196930936;0.192014465;0.315964083;G-UV;yellow;Liguladas;;
Fabaceae;Scorpiurus sulcatus;Scorpiurus_sulcatus;1.65;20.56;44913;0.07;3;A;6.5;Z;NO;627.08;321.740909;2.056596582;0.047716563;0.213829489;0.369305746;G;yellow;Papilionada;;
Scrophulariaceae;Scrophularia frutescens;Scrophularia_frutescens;106;12.59;22984;0.14;2;;4.5;Z;SI;699.97;130.58353;3.970849718;0.140760538;0.184486825;0.210746601;UV-B;purple;Bilabiada;939;4225.5
Orchidaceae;Serapias parviflora;Serapias_parviflora;166;11.3;119;;3;;18;Z;SI;699.97;125.93208;1.875522424;0.167646878;0.076130097;0.153873054;UV-B;purple;Bilabiada;3;54
Caryophyllaceae;Silene colorata;Silene_colorata;1016.83;31.31;14023;0.92;3;A;17;R;SI;670.8433333;338.7144955;1.66710074;0.04976284;0.171890169;0.15407987;B;pink;Hipocrateriforme;;
Smilacaceae;Smilax aspera;Smilax_aspera;;;19,224;0.08;;;6;R;NO;591.004;125.82341;1.679837539;0.027157425;0.012943437;0.012943437;B-G;white;Radiada;123;738
Solanaceae;Solanum nigrum;Solanum_nigrum;;;55775;0.5;3;A;6.5;R;NO;545.832;362.673032;1.275338505;0.037571682;0.245481554;0.173018539;B-G;white;Rotacea;;
Lamiaceae;Stachys ocymastrum;Stachys_ocymastrum;311.6;22.14;36720;0.15;3;A;14.5;Z;SI;562.2533333;413.3539547;1.489780964;0.022366069;0.291510338;0.271523236;B-G;white;Bilabiada;;
Fabaceae;Stauracanthus genistoides;Stauracanthus_genistoides;0;;8085;0.05;2;P;10;Z;NO;600.528;334.595196;1.687339143;0.094374192;0.229075786;0.232645976;G-UV;yellow;Papilionada;47;47
Tamaricaceae;Tamarix gallica;Tamarix_gallica;;;9570;0.04;2;P;3.8;R;NO;604.55;146.21619;1.319647169;0.042630574;0.089570534;0.18088261;B;white;Radiada;;
Lamiaceae;Teucrium capitatum;Teucrium_capitatum;87;30.09;7792;0.06;2;;4.5;Z;SI;491.89;418.7573633;1.313474907;0.031652038;0.284962839;0.175457024;B-G;white;Bilabiada;914;4113
Lamiaceae;Teucrium fruticans;Teucrium_fruticans;656;21.48;10144;0.16;2;P;26.5;Z;SI;692.6833333;329.6419433;1.740528803;0.053240212;0.172464924;0.147205539;B;purple;Bilabiada;406;1759
Lamiaceae;Thymus mastichina;Thymus_mastichina;19;15.59;2338;0.03;2;P;;Z;SI;564.7966667;402.1131267;1.319653365;0.030751167;0.274834854;0.192138818;B-G;white;Bilabiada;412;
Cistaceae;Tuberaria guttata;Tuberaria_guttata;0;;;;3;A;12;R;NO;553.5275;307.46156;1.528210378;0.217085756;0.190223416;0.282957178;G-UV;yellow;Radiada;;
Fabaceae;Ulex eriocladus;Ulex_eriocladus;0;;6830;0.078;2;P;;Z;NO;595.54;262.3791433;1.852829233;0.057712617;0.182796082;0.211166785;G;yellow;Papilionada;447;
Verbenaceae;Verbena officinalis;Verbena_officinalis;;;2268;0.017;3;P;5.5;Z;SI;698.3433333;217.20802;1.715002635;0.043013377;0.102227796;0.186720325;B;pink;Bilabiada;4;22
Fabaceae;Vicia benghalensis;Vicia_benghalensis;100;;;;3;A;14;Z;NO;696.875;107.119125;1.968740481;0.228103855;0.198794323;0.29858635;UV-B;pink;Papilionada;;
Fabaceae;Vicia faba;Vicia_faba;161;22.6;;;3;A;28.5;Z;NO;508.56;306.379705;1.324364123;0.031125254;0.22783109;0.203593423;B-G;white;Papilionada;;
Fabaceae;Vicia lutea;Vicia_lutea;0;;;;3;A;25;Z;NO;584.8566667;299.6832567;1.632660691;0.006790239;0.225303999;0.365739619;B-G;white;Papilionada;;
Fabaceae;Vicia sativa;Vicia_sativa;0;;;;3;A;18.5;Z;NO;466.54;31.12032;4.888421414;0.041318674;0.224112495;0.124253492;B;purple;Papilionada;;
